real_arrival_time,trip_instance_id,expected_arrival_time,code
2024-01-06 02:00:25.367+00,396458,97260,110602
2024-01-06 02:00:57.652023+00,396458,97320,110608
2024-01-06 02:01:57.297+00,396458,97380,110104
2024-01-06 02:03:53.32+00,396458,97500,10108
2024-01-06 02:05:20.427+00,396458,97560,110241
2024-01-06 02:07:22.337+00,396458,97680,110250
2024-01-06 02:10:32.303+00,396458,97800,110223
2024-01-06 02:11:53.407+00,396458,97860,120269
2024-01-06 02:13:44.283+00,396458,97980,11321
2024-01-06 02:15:07.522002+00,396458,98040,21101
2024-01-06 02:16:17.377+00,396458,98100,21130
2024-01-06 02:20:41.41+00,396458,98460,21121
2024-01-06 02:22:34.049067+00,396458,98580,11320
2024-01-06 02:23:43.030707+00,396458,98640,11325
2024-01-06 02:25:20.864977+00,396458,98700,11327
2024-01-06 02:25:42.367+00,396458,98760,11301
2024-01-06 02:27:02.896347+00,396458,98820,11317
2024-01-06 02:28:34.357+00,396458,98880,11352
2024-01-06 02:30:12.39+00,396458,99000,11539
2024-01-06 02:31:36.79375+00,396458,99060,11553
2024-01-06 02:32:33.343+00,396458,99120,11743
2024-01-06 02:33:44.733066+00,396458,99180,11723
2024-01-06 02:35:49.3+00,396458,99300,11712
2024-01-06 02:36:46.347605+00,396458,99360,11719
2024-01-06 02:37:02.612955+00,396458,99420,11731
2024-01-06 02:37:49.448122+00,396458,99480,11729
2024-01-06 02:38:22.39+00,396458,99540,17101
2024-01-06 02:39:16.163915+00,396458,99600,17103
2024-01-06 02:40:18.880918+00,396458,99660,17113
2024-01-06 02:41:09.821956+00,396458,99720,17115
2024-01-06 02:01:35.305346+00,396459,97140,29521
2024-01-06 02:02:26.555745+00,396459,97200,29532
2024-01-06 02:04:48.263264+00,396459,97260,29522
2024-01-06 02:06:51.273+00,396459,97380,29531
2024-01-06 02:08:23.247+00,396459,97440,29533
2024-01-06 02:09:21.322623+00,396459,97500,29535
2024-01-06 02:10:26.26+00,396459,97560,29537
2024-01-06 02:12:11.237+00,396459,97620,29551
2024-01-06 02:12:54.327+00,396459,97680,29553
2024-01-06 02:00:10.655585+00,396460,97200,23558
2024-01-06 02:00:56.297+00,396460,97260,23556
2024-01-06 02:01:28.498617+00,396460,97320,23554
2024-01-06 02:02:15.327+00,396460,97380,23552
2024-01-06 02:03:39.953426+00,396460,97440,23170
2024-01-06 02:03:59.988867+00,396460,97440,23164
2024-01-06 02:04:46.59015+00,396460,97500,23168
2024-01-06 02:05:21.307295+00,396460,97560,23162
2024-01-06 02:06:21.297+00,396460,97680,23124
2024-01-06 02:09:36.07525+00,396460,97740,23122
2024-01-06 02:11:23.301158+00,396460,97860,20718
2024-01-06 02:12:24.24+00,396460,97920,120616
2024-01-06 02:13:23.065377+00,396460,97980,120614
2024-01-06 02:14:39.283+00,396460,98040,10712
2024-01-06 02:15:40.31+00,396460,98100,110015
2024-01-06 02:16:36.283+00,396460,98160,110104
